"","id","pred"
"1","2013_1103_1107",0.631900831731486
"2","2013_1103_1112",0.272674846454238
"3","2013_1107_1112",0.143232147834527
"4","2013_1103_1125",0.392995442128978
"5","2013_1107_1125",0.224028072969835
"6","2013_1112_1125",0.622817260594921
"7","2013_1103_1129",0.496420743484058
"8","2013_1107_1129",0.305355409662893
"9","2013_1112_1129",0.715438120668148
"10","2013_1125_1129",0.636743336991029
"11","2013_1103_1137",0.469550369210982
"12","2013_1107_1137",0.283014777043771
"13","2013_1112_1137",0.69302764990802
"14","2013_1125_1137",0.61150072663953
"15","2013_1129_1137",0.396500449024346
"16","2013_1103_1139",0.39293499952715
"17","2013_1107_1139",0.223984028281073
"18","2013_1112_1139",0.622757735317833
"19","2013_1125_1139",0.535087882772807
"20","2013_1129_1139",0.324512551957436
"21","2013_1137_1139",0.442051697889912
"22","2013_1103_1143",0.456727373204666
"23","2013_1107_1143",0.272667366442052
"24","2013_1112_1143",0.68194767877426
"25","2013_1125_1143",0.599180013566932
"26","2013_1129_1143",0.384227369089208
"27","2013_1137_1143",0.507156407027575
"28","2013_1139_1143",0.686579929191659
"29","2013_1103_1153",0.38307063080888
"30","2013_1107_1153",0.216846015012653
"31","2013_1112_1153",0.612949290889353
"32","2013_1125_1153",0.524739561130512
"33","2013_1129_1153",0.31547324646812
"34","2013_1137_1153",0.431831402993699
"35","2013_1139_1153",0.618023580720744
"36","2013_1143_1153",0.364093909495603
"37","2013_1103_1160",0.451298456158417
"38","2013_1107_1160",0.268345621605078
"39","2013_1112_1160",0.677178612723303
"40","2013_1125_1160",0.593908919685424
"41","2013_1129_1160",0.379058938846897
"42","2013_1137_1160",0.501681599920649
"43","2013_1139_1160",0.681847916977007
"44","2013_1143_1160",0.431304774720782
"45","2013_1153_1160",0.487445028050533
"46","2013_1103_1161",0.295401059674958
"47","2013_1107_1161",0.157506198461976
"48","2013_1112_1161",0.516735457520496
"49","2013_1125_1161",0.427093264856862
"50","2013_1129_1161",0.237322825144591
"51","2013_1137_1161",0.339136953668548
"52","2013_1139_1161",0.522087637354947
"53","2013_1143_1161",0.278804643801642
"54","2013_1153_1161",0.326490889209729
"55","2013_1160_1161",0.447272568970234
"56","2013_1103_1166",0.399750818986937
"57","2013_1107_1166",0.228974613964615
"58","2013_1112_1166",0.629426709443982
"59","2013_1125_1166",0.542167303278256
"60","2013_1129_1166",0.330788232908842
"61","2013_1137_1166",0.449089225587054
"62","2013_1139_1166",0.634413821262608
"63","2013_1143_1166",0.380457368878832
"64","2013_1153_1166",0.43504216441936
"65","2013_1160_1166",0.562445883316082
"66","2013_1161_1166",0.615408475814456
"67","2013_1103_1172",0.493473921467775
"68","2013_1107_1172",0.302860657625261
"69","2013_1112_1172",0.713032054085654
"70","2013_1125_1172",0.634012265205099
"71","2013_1129_1172",0.419646554099766
"72","2013_1137_1172",0.54389828269848
"73","2013_1139_1172",0.717399189179337
"74","2013_1143_1172",0.473223215309948
"75","2013_1153_1172",0.529737245205308
"76","2013_1160_1172",0.652827737468834
"77","2013_1161_1172",0.700672461802526
"78","2013_1166_1172",0.72772578417533
"79","2013_1103_1181",0.180215521001904
"80","2013_1107_1181",0.0892770166204791
"81","2013_1112_1181",0.359248731310529
"82","2013_1125_1181",0.281038987499426
"83","2013_1129_1181",0.140275132140982
"84","2013_1137_1181",0.212029405067859
"85","2013_1139_1181",0.364199020889198
"86","2013_1143_1181",0.168542545844759
"87","2013_1153_1181",0.202669503716832
"88","2013_1160_1181",0.297905852509892
"89","2013_1161_1181",0.345635430651994
"90","2013_1166_1181",0.376209688444341
"91","2013_1172_1181",0.130108690939264
"92","2013_1103_1195",0.587037345661984
"93","2013_1107_1195",0.387964745692457
"94","2013_1112_1195",0.783807277234567
"95","2013_1125_1195",0.716528320574726
"96","2013_1129_1195",0.513399936485567
"97","2013_1137_1195",0.635036116036758
"98","2013_1139_1195",0.787418456242695
"99","2013_1143_1195",0.567246915164619
"100","2013_1153_1195",0.621736799599892
"101","2013_1160_1195",0.73288886662808
"102","2013_1161_1195",0.773527760872119
"103","2013_1166_1195",0.795914326209458
"104","2013_1172_1195",0.49165607235971
"105","2013_1181_1195",0.905344558070179
"106","2013_1103_1196",0.196385492190914
"107","2013_1107_1196",0.098265525021597
"108","2013_1112_1196",0.383958818293787
"109","2013_1125_1196",0.302912725828233
"110","2013_1129_1196",0.15353258876503
"111","2013_1137_1196",0.230252152821424
"112","2013_1139_1196",0.389042865290225
"113","2013_1143_1196",0.183900103634062
"114","2013_1153_1196",0.220312735131828
"115","2013_1160_1196",0.320507141967789
"116","2013_1161_1196",0.369949783024355
"117","2013_1166_1196",0.401355644566613
"118","2013_1172_1196",0.142564644500351
"119","2013_1181_1196",0.621824797431525
"120","2013_1195_1196",0.152719893672033
"121","2013_1103_1207",0.272700397881894
"122","2013_1107_1207",0.143247958581771
"123","2013_1112_1207",0.488826085407659
"124","2013_1125_1207",0.400017911863484
"125","2013_1129_1207",0.217706282272518
"126","2013_1137_1207",0.314575864183151
"127","2013_1139_1207",0.494184797455257
"128","2013_1143_1207",0.256914328878608
"129","2013_1153_1207",0.302426539197545
"130","2013_1160_1207",0.419855464340941
"131","2013_1161_1207",0.473934440905112
"132","2013_1166_1207",0.507063441994817
"133","2013_1172_1207",0.203254756023663
"134","2013_1181_1207",0.716136275973759
"135","2013_1195_1207",0.216640835040216
"136","2013_1196_1207",0.801530817810713
"137","2013_1103_1211",0.145603414925066
"138","2013_1107_1211",0.0706258243091046
"139","2013_1112_1211",0.302958898199405
"140","2013_1125_1211",0.232555973228968
"141","2013_1129_1211",0.112283294553416
"142","2013_1137_1211",0.172593543758626
"143","2013_1139_1211",0.307505783850904
"144","2013_1143_1211",0.135800964000012
"145","2013_1153_1211",0.164610836841014
"146","2013_1160_1211",0.247514812588151
"147","2013_1161_1211",0.290511531890781
"148","2013_1166_1211",0.318583636758387
"149","2013_1172_1211",0.103900386322276
"150","2013_1181_1211",0.534154744116754
"151","2013_1195_1211",0.111660142040591
"152","2013_1196_1211",0.647335027250585
"153","2013_1207_1211",0.411034437097405
"154","2013_1103_1217",0.587773781939494
"155","2013_1107_1217",0.38868650115982
"156","2013_1112_1217",0.784321734738822
"157","2013_1125_1217",0.717145101448982
"158","2013_1129_1217",0.514159009928122
"159","2013_1137_1217",0.635740069029739
"160","2013_1139_1217",0.787926645557382
"161","2013_1143_1217",0.56799267173806
"162","2013_1153_1217",0.622451153720523
"163","2013_1160_1217",0.733483290716042
"164","2013_1161_1217",0.774059628522844
"165","2013_1166_1217",0.796407456889148
"166","2013_1172_1217",0.492415530019736
"167","2013_1181_1217",0.905604632951147
"168","2013_1195_1217",0.512593380669878
"169","2013_1196_1217",0.938867126566329
"170","2013_1207_1217",0.853783349605568
"171","2013_1211_1217",0.961653419172632
"172","2013_1103_1228",0.242643733188204
"173","2013_1107_1228",0.125006993373561
"174","2013_1112_1228",0.449676494564745
"175","2013_1125_1228",0.362930997242724
"176","2013_1129_1228",0.192109933375184
"177","2013_1137_1228",0.281691361433887
"178","2013_1139_1228",0.454988033798242
"179","2013_1143_1228",0.228052014248327
"180","2013_1153_1228",0.270311210974441
"181","2013_1160_1228",0.382100649936466
